experiment;learning_rate;batch_size;lookback;num_layers;seed;loss
00_GRU_trefor_park;0.003;64;96;2;;0.0294482755883963
00_LSTM_trefor_park;0.005;128;96;2;;0.0295996620133519
00_CNN_LSTM_trefor_park;0.003;128;96;2;;0.029670475150148
01_GRU_trefor_park;0.003;128;48;2;;0.0269404170351723
01_LSTM_trefor_park;0.003;128;96;2;;0.0267178727034479
01_CNN_LSTM_trefor_park;0.001;128;96;1;;0.0248179427130768
02_GRU_trefor_park;0.003;128;96;2;;0.0267330697458237
02_LSTM_trefor_park;0.003;128;96;2;;0.0268896558663497
02_CNN_LSTM_trefor_park;0.001;128;96;2;;0.0253637886047363
03_GRU_trefor_park;0.001;128;96;2;;0.0478368234247542
03_CNN_LSTM_trefor_park;0.001;128;96;1;;0.0418315031625425
03_LSTM_trefor_park;0.003;128;48;2;;0.0461786646181001
01_CNN_LSTM_Caltech;0.005;32;36;2;;0.0536863137657443
01_GRU_Caltech;0.005;128;36;1;;0.05629427575816711
01_LSTM_Caltech;0.005;32;36;2;;0.0596741681918501
04_GRU_trefor_park;0.001;32;96;2;;0.0568826885893941
04_CNN_LSTM_trefor_park;0.001;128;36;2;;0.0580086563713848
04_LSTM_trefor_park;0.003;32;96;1;;0.0561573212552401
05_GRU_trefor_park;0.001;128;36;1;;0.0008346892973349
05_LSTM_trefor_park;0.003;128;96;2;;0.0008021321894678
05_CNN_LSTM_trefor_park;0.003;128;96;2;;0.0007955968903843
